Year,Month,Flow,FFD DESC,£000s,Tonnes
2009,1,Total Imports,Shellfish,36041.362,7822.324
2009,1,Total Imports,Spices,9001.449,5464.582
2009,1,Total Imports,Sugar confectionery,20192.273,8901.993
2009,1,Total Imports,Sweet biscuits,23295.565,9527.262
2009,1,Total Imports,Tea,21977.341,15444.258
2009,1,Total Imports,"Tomatoes, fresh or chilled",39162.625,35130.307
2009,1,Total Imports,"Tomatoes, prepared or preserved",23785.394,31654.964
2009,1,Total Imports,"Vegetable oils and fats, soft, crude, refined or fractionated",83457.463,98442.43
2009,1,Total Imports,"Vegetables, frozen or provisionally prepared",31538.82,42549.437
2009,1,Total Imports,Vodka,2087.448,947.272
2009,1,Total Imports,"Wheat, unmilled",21527.736,112613.783
2009,1,Total Imports,Whisky,9904.722,2437.708
2009,1,Total Imports,Wine,180518.933,87724.116
2009,1,Total Imports,Yogurt,11044.852,8747.283
2009,2,Total Exports,"Animal oils and fats, not chemically modified",5387.415,8132.83
2009,2,Total Exports,"Apples, fresh",608.518,826.956
2009,2,Total Exports,"Apricots, cherries, peaches, plums and sloes (fresh)",188.432,97.97
2009,2,Total Exports,Bacon and ham,4956.304,1653.515
2009,2,Total Exports,Bananas,2082.425,3317.414
2009,2,Total Exports,"Barley, unmilled",11084.749,74357.518
2009,2,Total Exports,Beef and veal,20062.989,6590.794
2009,2,Total Exports,Beef products (inc. corned beef),1119.694,330.932
2009,2,Total Exports,Beer,32844.079,34568.669
2009,2,Total Exports,"Bread, crispbreads, savoury biscuits",25483.542,17385.673
2009,2,Total Exports,Butter,4976.32,2517.898
2009,2,Total Exports,"Cereal, milled",6338.262,18463.199
2009,2,Total Exports,"Cereal, rolled or flaked",45694.539,41231.143
2009,2,Total Exports,Cheese,22156.229,7474.755
2009,2,Total Exports,Chocolate,31409.379,8781.867
2009,2,Total Exports,Cider & other fermented beverages,1689.993,2484.471
2009,2,Total Exports,Cocoa,5032.51,2859.379
2009,2,Total Exports,Coffee,18188.548,2698.093
2009,2,Total Exports,Condensed milk,680.859,362.885
2009,2,Total Exports,Dog or cat food for retail,14121.531,15191.548
2009,2,Total Exports,Edible offal and other meat,3461.034,3329.417
2009,2,Total Exports,Eggs & egg products,2884.487,1135.047
2009,2,Total Exports,Fish excl. Salmon & Shellfish,47757.056,31840.074
